"ID","Domain","Axis","Unit name","Unit type","Canonical source","Repo evidence","Gap classification","Severity","Build priority","Depends on","Proposed artifact path","Proposed action","Notes"
"RB-RT-06","harness-runtime + harness-cp","CP/RT","F1-01 WAL exactly-once duplicate cp.resume-attempted","open residual",".harness/r-fs-1-e-impl-3c-f1-01-wal-exactly-once.md (Status: OPEN, low-severity, tracked)","WAL_SEGMENT RESUME firing gate is presence-only (has_pause_record); a same-run_id re-drive of a completed run emits a 2nd cp.resume-attempted (C-CP-50) ledger entry","partial (floor-(ii) imperfection)","LOW","P3","E-impl-3c (closed)","harness-cp/src/harness_cp/workflow_driver.py (U-CP-95 firing gate) — symmetric fix to E-impl-3c reconciler fix","BUILD: make the WAL RESUME gate completed-run-aware so a re-driven completed run is a clean no-op","No fail-close, no run failure, no corruption — over-counts engine-layer resume attempts by one for an OD audit consumer. Fix shape ready."
"RB-RT-07","harness-runtime + harness-cp","CP/RT","Workflow-layer durable-resume (api.run resume entry-point + real pause content)","open fork (likely STALE)",".harness/class_2_fork_engine_durable_resume_no_production_producer.md (Status: OPEN, awaiting operator scoping)","Fork (filed 2026-06-12) claims engine-layer recovery loop has no production producer; real gap is workflow-layer api.run resume + MVP-placeholder pause content. BUT E-impl-2/3 (WAL+RECONCILER recovery, U-CP-93..97/U-RT-121..124) + api.resume (C-RT-30) have since landed","stale-tracking / needs re-grounding","MEDIUM","P1 (triage)","E arc (closed); api.resume (C-RT-30, closed)",".harness/ fork-doc status refresh OR a workflow-layer durable-resume design-fork if a genuine residual remains","RE-GROUND then close-or-scope: the fork's own re-open trigger (a real WAL/reconciler recovery loop lands) FIRED and was built; verify whether any workflow-layer residual (richer StateSummary) survives","Strong evidence of stale-OPEN (superseded by E arc + api.resume). The only plausible live residual is the WON'T-FIX pause StateSummary richness (RB-CP-09)."
"RB-CP-09","harness-cp + harness-runtime","CP/RT","Richer pause_context_reader body / non-empty StateSummary (§14.14.7)","ratified residual (WON'T-FIX)",".harness/residual_closure_pause_context_reader_richer_body.md (CLOSED-as-WON'T-FIX 2026-05-24); runtime spec §14.14.7","_make_default_pause_context_reader returns a minimal placeholder: empty StateSummary, sentinel anchor; operator override honored","partial (ratified-residual)","LOW","P4 (recoverable)","—","harness-runtime/src/harness_runtime/bootstrap/factories/pause_resume_protocol_factory.py + a LedgerReader extension","RE-RATIFY under FULL-SPEC directive OR build the richer body: operator closed WON'T-FIX 2026-05-24, but R-FS-1 (2026-06-12, nothing-deferred) supersedes confirm-defer closes","Recoverable if a concrete consumer surfaces. FULL-SPEC directive arguably re-opens this; surface for operator scoping."
"RB-AS-02","harness-as","AS","Skills cost estimate = description-length proxy (§14.17.7)","partial/stubbed","spine ledger Bucket-B minor scopes; runtime/AS §14.17.7","harness-as/src/harness_as/skills.py uses a description-length proxy, not token-counting (no 'token' reference at HEAD)","partial/stubbed","LOW","P3","—","harness-as/src/harness_as/skills.py (real token-counting cost estimate)","BUILD: replace description-length proxy with real token-counting per §14.17.7","Low severity; cost-estimate precision only."
"RB-CP-10","harness-cp","CP","U-CP-22 anchor-validation deferred + parent_gate_level AUTO-default","partial/stubbed (minor)","spine ledger Bucket-B minor scopes; workflow_driver_types.py","parent_entry_hash empty-string sentinel + parent_gate_level AUTO-default (per-step gate-level not operator-surfaced); U-CP-22 anchor-validation deferred","partial/stubbed","LOW","P3","—","harness-cp/src (anchor-validation; per-step gate-level surfacing)","BUILD or RATIFY: surface per-step gate-level + land U-CP-22 anchor-validation; roll up under whichever arc touches them","Individually low; verify still open at arc-open (spine snapshot 2026-06-12)."
"RB-SUB-01","substitution","IS/CP","CP-16 Memory tool production backend (RETIRED-AS-BOUNDED-RESIDUAL)","substitution-backed (bounded residual)",".harness/substitutions.yaml CP-16; phase-7d batch-44; forward-register B-13","FILESYSTEM/SQLite/S3/Neon backends landed + live-proven; CP-16 counted RETIRED-AS-BOUNDED-RESIDUAL; managed-DB proof via just r830-managed-db-live-e2e (Neon)","substitution-backed (bounded residual)","LOW","P3","R-830 (closed); deployment surface","harness-runtime/src/.../memory_tool_managed_db.py (already present, uncited)","RATIFY-as-closed OR continuous-deployment activation: substantively done; bounded only in that production exercise is deployment-gated","Counted retired. No production gap; the 'residual' is dormant-until-deployed, not unbuilt."
"RB-SUB-02","substitution","OD","OD-6 OTLP sqlite ingestion dormant-at-MVP (RETIRED-AS-BOUNDED-RESIDUAL)","substitution-backed (bounded residual)",".harness/substitutions.yaml OD-6; phase-7d batch-51; runtime spec §14.C","flush_to_sqlite local-first OTLP ingestion is dormant at MVP (head-based sampling at LOCAL); exercised at R-420/R-430 against a real collector","substitution-backed (bounded residual)","LOW","P3","R-420/R-430 (closed)","harness-od/src + harness-runtime (OTLP ingestion activation)","RATIFY-as-closed: first bounded-residual close in the ledger; dormant-by-design at MVP, proven against the R-420 collector","Dormant production substrate, not unbuilt. Activation is deployment-posture, not a build arc."
"RB-SUB-03","governance / MCP boundary","—","Scaffold MCP server dev-tooling residue","governance-only (cleanup)",".mcp.json (harness-7a-scaffold registration); scaffolding/mcp/server.py + telemetry.py","No harness-*/src path invokes the scaffold MCP (verified grep); but .mcp.json still registers it and scaffolding/mcp/ persists","substitution-backed (retired-but-not-cleaned)","LOW","P4","All 54 substitutions RETIRED (verified)",".mcp.json + scaffolding/mcp/ (remove or quarantine at Phase-7d/8 close)","CLEANUP (optional): retire the scaffold MCP registration + scaffolding/mcp/ now that no src invokes it (X-AL-2 site no longer invoked)","Production code retirement is real (verified). This is H_E dev-tooling residue, not a production gap. Folds into R-CL-Q4/close."
"RB-ACT-01","harness-cp + harness-runtime","CP/RT","Layered routing multi-provider production exercise","dormant (built, not exercised)","arc R + B-L2-* arcs (closed); forward-register B-1; roadmap_status next-selector","Layered routing (routing_activation) + fallback composition built + proven; production-inert until a 2nd provider + the routing-activation deployment gate","unwired (deployment-gated)","MEDIUM","P2","2nd-provider credentials + deployment posture (operator)","operator deployment config (multi-provider) — no new code; surface the credential/vendor boundary","ACTIVATE (operator-gated): supply 2nd-provider creds + enable routing_activation in a deployment; do NOT auto-fire paid calls","Capability is built and live-proven (#281/#283 cross-family fallback); standing multi-provider operation is deployment, not build."
"RB-ACT-02","deployment / ops","—","Standing non-LOCAL deployment (SELF_HOSTED / MANAGED_CLOUD)","dormant (proven-once, not standing)","R-420/R-421 (closed, live-proven once); deploy/self-hosted-local + deploy/managed-cloud","SELF_HOSTED daemon+collector and MANAGED_CLOUD (E2B+GCP+Cloud Run) live-proven once; no standing/continuous deployment","governance-only (ops activation)","LOW","P3","R-CL-Q4 packaging/deployment","deploy/** runbooks (present) + operator deployment decision","ACTIVATE/PACKAGE: fold standing deployment into R-CL-Q4 (portable packaging + deployment); proofs already run","Live e2e proofs exist; a continuously-running deployment is an ops decision under R-CL-Q4, not a missing build."
"RB-ACT-03","harness-od + harness-runtime","OD/RT","R-CL-P3 persona-tier TEAM_BINDING breadth e2e","applied-pending-operator-e2e","Project_Roadmap_v1.md §5 R-CL-P3 (status APPLIED-PENDING-OPERATOR-E2E)","Persona-tier plumbing applied (tests/test_persona_tier_plumbing.py); TEAM_BINDING breadth e2e proof of the bridging-arc pending","untested (e2e pending)","LOW","P3","persona-tier plumbing (applied)","tests/ (TEAM_BINDING bridging-arc e2e)","RUN: the TEAM_BINDING breadth e2e proof (operator-gated live run)","Capability applied; only the breadth e2e proof is pending."
"RB-GOV-01","repo governance","—","R-CL-Q1 DevEx + whole-codebase code-review & simplification sweep","quality program (BLOCKED)","Project_Roadmap_v1.md §5 R-CL-Q1 (status BLOCKED; depends_on R-FS-1)","Gated behind R-FS-1 full-spec completion by operator directive (run quality ONCE on the complete harness)","governance-only (not yet executable)","HIGH","P1 (after R-FS-1)","R-FS-1 (ACTIVE)","whole-repo sweep (no single artifact)","BUILD/RUN after R-FS-1: DevEx + code-review + simplification across all packages","Deliberately sequenced last (capability-completion-inventory: avoid running it twice)."
"RB-GOV-02","repo governance","—","R-CL-Q2 security testing + review","quality program (BLOCKED)","Project_Roadmap_v1.md §5 R-CL-Q2 (status BLOCKED)","Gated behind R-FS-1; sandbox/secrets/redaction surfaces built but no dedicated security pass run","governance-only (not yet executable)","HIGH","P1 (after R-FS-1)","R-FS-1; R-CL-Q1","security review report + threat model","BUILD/RUN after R-FS-1: security testing + review (sandbox tiers, secrets, redaction, MCP trust)","Eval-harness-as-governance-gate is REFUSED (architecture.md R1/R2); this is a manual/tooled review pass."
"RB-GOV-03","repo governance","—","R-CL-Q3 QA + 100%-evidence closure","quality program (BLOCKED)","Project_Roadmap_v1.md §5 R-CL-Q3 (status BLOCKED)","Gated behind R-FS-1; per-unit evidence closure not yet certified end-to-end","governance-only (not yet executable)","HIGH","P1 (after R-FS-1)","R-FS-1; R-CL-Q2","QA evidence matrix","BUILD/RUN after R-FS-1: QA + 100%-evidence closure across all units","Closure track; runs on the complete harness."
"RB-GOV-04","repo governance / deployment","—","R-CL-Q4 portable packaging + deployment","quality program (BLOCKED)","Project_Roadmap_v1.md §5 R-CL-Q4 (status BLOCKED)","uv workspace + deploy/ runbooks exist; no portable package artifact (wheel/container) or standing deployment","governance-only / partial","HIGH","P1 (after R-FS-1)","R-FS-1; R-CL-Q3","packaging config (wheels/containers) + deploy/** finalization","BUILD after R-FS-1: portable packaging + deployment (absorbs scaffold cleanup RB-SUB-03 + standing deploy RB-ACT-02)","Some substance present (deploy/, uv workspace); the packaged-artifact + standing-deploy half is unbuilt."
"RB-GOV-05","docs","—","R-CL-D1 documentation suite","docs program (BLOCKED)","Project_Roadmap_v1.md §5 R-CL-D1 (status BLOCKED)","No per-package READMEs (all 7 missing); no consolidated user/operator doc suite; design-substrate is internal","undocumented (not yet executable)","MEDIUM","P2 (after R-FS-1)","R-FS-1","harness-*/README.md + docs/ user+operator suite","BUILD after R-FS-1: documentation suite (absorbs RB-DOC-01 per-package READMEs)","Tracked home for the README + user-docs gap."
"RB-GOV-06","repo governance","—","R-CL-C1 full-spec closure certification + ship","closure cert (BLOCKED)","Project_Roadmap_v1.md §5 R-CL-C1 (status BLOCKED)","Final certification + ship gate; depends on all prior R-CL phases","governance-only (not yet executable)","HIGH","P1 (last)","R-FS-1; R-CL-Q1..Q4; R-CL-D1","closure certification doc + ship","BUILD/RUN last: full-spec closure certification + ship","Terminal gate of the whole program."
"RB-GOV-07","repo governance / tooling","—","R-IF-114 dashboard-generate test rot (likely STALE-ACTIVE)","tooling (ACTIVE; likely stale)","Project_Roadmap_v1.md §5 R-IF-114 (status ACTIVE)","tools/test_dashboard_generate.py count-rot; BUT #673 schema-backed arc-ledger overhaul + arc_ledger --check CI gate addressed the drift class","stale-tracking","LOW","P3","#673 (closed)","Project_Roadmap_v1.md §5 (status refresh) + tools/test_dashboard_generate.py verify","RE-GROUND then close: verify #673 resolved the rot and flip R-IF-114 to RESOLVED, or fix the residual","Likely already resolved by #673; status not refreshed."
"RB-DOC-01","docs","ALL","Per-package README.md absent (all 7 packages)","undocumented","Repo convention; CLAUDE.md §3.3 layout shows per-package dirs","harness-core/is/as/cp/od/cxa/runtime all MISSING README.md (verified)","undocumented","MEDIUM","P2","R-CL-D1 (docs suite)","harness-{core,is,as,cp,od,cxa,runtime}/README.md","BUILD: a README per package (purpose, public surface, axis role, test entry) — fold into R-CL-D1","Every package is implemented + tested but carries no package-level doc."
"RB-DOC-02","governance / traceability","OD/RT","14 code files without a spec/contract cite (overlay code_without_cite)","undocumented (traceability)","just overlay-query --orphans (code_without_cite: 14 files)","redaction_token_audit.py, stage_3b_cp_routing.py, cli/__main__.py, cp_as_wiring.py, docker/e2b tool drivers, escalation_prompt.py, files_api.py, hitl_auto_approve_policy.py, memory_tool_{encrypted,managed_db,s3}.py, redaction_token_audit_map.py, strict_safe_loader.py","undocumented (impl present, cite absent)","LOW","P3","—","add C-*/U-* cite comments to the 14 files","BUILD (hygiene): add traceability cites so the overlay code_without_cite class → 0","These are REAL implementations (drivers, files API, memory backends) lacking a cite comment — traceability decay, not missing impl. Fold into R-CL-Q1/D1."
"RB-DOC-03","tooling / governance","—","Overlay contract_without_code scans superseded spec versions → phantom orphans","tooling hygiene","just overlay-query --orphans (contract_without_code: 6); design-substrate retains full delta chain","5 of 6 orphans (C-CP-00/30/37/43, C-OD-3) appear ONLY in superseded version files; C-IS-11 is a documented corrected non-existent cite. ZERO are canonical-head contracts","tooling hygiene (false-positive)","LOW","P3","—","tools/semantic_overlay/ (scope contract scan to canonical-head spec/plan files)","BUILD (hygiene): scope the overlay's contract scan to canonical heads so contract_without_code stops reporting superseded-version phantoms","Important: the overlay's '6 unimplemented contracts' reading is FALSE — all 6 are phantoms. Without head-scoping, future audits will keep mis-reading these."
"RB-DOC-04","tests / config","—","Root tests/ holds a single file; no top-level examples for non-topology workflows","config/test layout (minor)","tests/test_persona_tier_plumbing.py; examples/workflows/topology only","Root tests/ has 1 file (persona-tier); examples/workflows only covers 'topology'; harness.toml.example present","untested/undocumented (minor)","LOW","P4","—","examples/workflows/** (more worked examples) + tests/ cross-package integration","BUILD (optional): more worked example workflows + cross-package integration tests at root","Per-package tests are comprehensive (170 runtime / 97 cp test files); this is breadth-of-examples, not a coverage hole."
"RB-DOC-05","governance / traceability","RT/CP","7 head units carry no U-* cite in src (unit-level traceability)","undocumented (traceability)","head-unit vs code-cited diff (§4.6); design-substrate plans","U-CP-100, U-RT-01, U-RT-82, U-RT-85, U-RT-133 implemented + tested but src cites the contract not the U-* token; U-RT-00 a range-marker non-unit; U-RT-91 a superseded-version validator unit","undocumented (impl present, cite absent)","LOW","P3","—","add U-* cite comments to the 5 implemented carriers (routing_core_surface.py, memory/validator/llm_dispatch carriers)","BUILD (hygiene): add unit-level cites so the head-unit-vs-src diff is clean; verify U-RT-91 carrier","Cite-traceability only; ZERO unimplemented head units. Folds into RB-DOC-02 + R-CL-Q1/D1."
"RB-PROP-01","tooling / dashboard","—","Dashboard iteration-2 (R-XI-02 dep-graph viz / R-XI-03 live-update)","proposed","forward-register B-15; roadmap Surface XI","MVP dashboard live (auto-generated on merge); iteration-2 features PROPOSED only","fully-missing (proposed)","LOW","P4","R-XI-01 (MVP, live)","tools/dashboard/generate.py + roadmap.html (dep-graph render + poll/webhook refresh)","BUILD (operator-elective): dep-graph viz + sparklines (R-XI-02), live-update mode (R-XI-03)","Nice-to-have; depends_on data already in the DATA blob."
"RB-PROP-02","research","—","B-16 open architectural / speculative arcs (Surface X)","proposed (not decomposed)","forward-register B-16; roadmap Surface X (decomposition-owed)","Named with a decomposition-owed marker; no concrete items committed (deliberately not padded)","fully-missing (undecomposed)","LOW","P4","operator-seeded",".harness/ (R-900-series decomposition when a question crystallizes)","DECOMPOSE-WHEN-SEEDED: e.g. workflow-doc Phase-8→Phase-9 retirement criteria; research-corpus extensions","Deliberately empty; operator-seeded on a concrete research question."
"RB-PROP-03","methodology / governance","—","B-17 / R-IF-113 ICM workspace-methodology adoption","proposed (audit-only)","forward-register B-17; ICM_Alignment_Audit_v1.md","Audit landed (~90% ICM values / ~50% structure); root CLAUDE.md ~107x ICM L0 budget; NO adoption decided","governance-only (proposed)","LOW","P4","operator 3-gate decision (scope/file-caps/L0-refactor)",".harness/ (R-IF-113 arc; reuse spec-code-overlay ICM template)","DECIDE-THEN-BUILD: operator decides 3 gates before any spec; frame as reconciliation, not conversion","Council-conditional (context-minimalism ⊥ governance-completeness). Highest-leverage = R-ICM-1 root CLAUDE.md split."
"RB-EXP-01","harness-cp / harness-od / harness-cxa","CP/OD/CXA","Empty package __init__.py — no curated public-API export surface","undocumented (API surface)","CLAUDE.md §3.3 monorepo layout; packaging convention","harness-cp __init__ 0 lines / no __all__ (71 src modules); harness-od 0 lines (56 modules); harness-cxa 0 lines (1 module) — vs harness-as __all__=191, core=18, is=27, runtime=25","undocumented (no public export surface)","MEDIUM","P2","R-CL-Q4 packaging / R-CL-D1","harness-{cp,od,cxa}/src/*/__init__.py (curated __all__) OR a ratify-deep-import-only note","DECIDE-THEN-BUILD: add a curated __all__ to cp/od/cxa __init__, OR ratify deep-import-only as the intended API — the discipline is inconsistent (as curates 191, cp/od/cxa curate 0)","Submodule imports (from harness_cp import workflow_driver) work, so not a functional break — but there is no package-root public API. Matters for R-CL-Q4 packaging + DX."
"RB-CXA-02","harness-cxa","CXA","harness-cxa is a near-stub package (seam wiring lives in harness-runtime)","structural / doc-drift","CLAUDE.md §3.3 ('harness-cxa hosts CXA seam instantiation')","harness-cxa/src has only cp_audit_conversion.py (+ empty __init__); the real seam wiring is harness-runtime/lifecycle/{cxa_terminal_imports,cp_as_wiring}.py","governance/doc (layout vs reality)","LOW","P3","—","CLAUDE.md §3.3 refresh OR consolidate seam instantiation into harness-cxa","RECONCILE: refresh §3.3 to say CXA wiring is runtime-resident, OR (heavier) relocate seam instantiation into harness-cxa","Not a functional gap — composition IS wired (in runtime). Structure/doc drift from the stated layout."
"RB-CXA-03","tooling / governance / CXA","CXA","'genuine typed seam' count collision — 31 (code/overlay) vs 37 (CXA doc / CLAUDE.md §1.1)","tooling/doc reconciliation","overlay README + harness-runtime/tests/integration/test_cxa_pattern_p1.py (31); CXA doc §2.1 + CLAUDE.md §1.1 (37)","PATTERN_P1_SEAMS len==31 (HARD-gated; the P1 test also FAILS on any un-enumerated cross-axis import → complete w.r.t. real imports); CXA doc §2.1 = 37 genuine typed + 48 convention + 22 phase-2","tooling/doc hygiene (false-gap)","LOW","P3","—","reconcile the two counts in CXA doc + overlay README (define 'code cross-axis-import seam'=31 vs 'plan-canonical genuine typed'=37)","RECONCILE/DOCUMENT: the 6-seam delta is definitional (31 = direct cross-axis-import seams; 37 = design count incl. shared-core/runtime-mediated typed seams not realized as direct imports) — document so neither reads as a gap","NOT 6 unwired seams — the P1 test proves no actual cross-axis import is un-enumerated, so composition is fully wired. Same class as RB-DOC-03 (a count that looks like a gap but isn't)."
"RB-GOV-08","repo governance","—","Local advisory X-AL-3 pre-commit hook not enabled (core.hooksPath unset)","governance (opt-in)","CLAUDE.md §4.4; .githooks/pre-commit",".githooks/pre-commit ships; git config core.hooksPath is unset this checkout; CI .github/workflows/x-al-3-guard.yml IS active (hard backstop)","governance-only (opt-in not enabled)","LOW","P4","—","git config core.hooksPath .githooks (per-checkout, optional)","INFORMATIONAL: opt-in by design; CI guard is the hard enforcement. Enable locally only if early warning is wanted.","Not a real gap — advisory + opt-in. Noted for completeness; the CI X-AL-3 guard provides the binding enforcement."
"RB-CORE-01","harness-core","CORE","Shared-types core — accounted-for","accounted-for (no gap)","Implementation_Plan_Harness_Core_v1_2.md; overlay denominator","8 src modules + tests; U-CORE-01/02 landed; no contract_without_code in CORE; no fully-missing units","none (accounted-for)","N/A","—","—","—","NO ACTION: core is complete; shared types carry cross-axis seams (CXA 31/31 wired)","Included for denominator completeness — every CORE head contract/unit has a carrier."
